date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-04-02,AMD,USD,0000002488,1995-04-25,1995-04-25 00:00:00,1995,Q1,620096000,290772000,329324000,0.5310855093,92500000,0,0,96946000,0,189446000,480218000,0,0,57483000,197361000,0.3182749123,139878000,0.2255747497,6712000,146590000,0.2363988802,48375000,96801000,0.1561064738,0.48,0.46,202024000,213434000,https://www.sec.gov/Archives/edgar/data/2488/000089843095000616/0000898430-95-000616-index.html,https://www.sec.gov/Archives/edgar/data/2488/,2702011000,1842417000,Technology,Semiconductors,NASDAQ,1980-03-17
1995-07-02,AMD,USD,0000002488,1995-07-24,1995-07-24 00:00:00,1995,Q2,626214000,300959000,325255000,0.5193991192,101032000,0,0,97364000,0,198396000,499355000,0,0,55730000,182589000,0.2915760427,126859000,0.2025809068,6657000,133516000,0.2132114581,44060000,91985000,0.1468906795,0.43,0.43,214340000,214612000,https://www.sec.gov/Archives/edgar/data/2488/000089843095001323/0000898430-95-001323-index.html,https://www.sec.gov/Archives/edgar/data/2488/,2901119000,1948773000,Technology,Semiconductors,NASDAQ,1980-03-17
1995-10-01,AMD,USD,0000002488,1995-11-02,1995-11-02 00:00:00,1995,Q3,590385000,344344000,246041000,0.4167466992,100014000,0,0,95525000,0,195539000,539883000,0,0,65899000,116401000,0.1971611745,50502000,0.0855407912,9867000,60369000,0.1022536142,16517000,56163000,0.0951294494,0.26,0.26,214636000,214638000,https://www.sec.gov/Archives/edgar/data/2488/000089843095002116/0000898430-95-002116-index.html,https://www.sec.gov/Archives/edgar/data/2488/,2967407000,2020455000,Technology,Semiconductors,NASDAQ,1980-03-17
1995-12-31,AMD,USD,0000002488,1996-03-21,1996-03-21 00:00:00,1995,Q4,593029000,362801000,230228000,0.3882238474,104009000,0,0,95181000,0,199190000,561991000,0,0,83389000,114427000,0.1929534643,31038000,0.0523380813,6820000,37858000,0.063838362,3786000,55582000,0.093725602,0.2,0.2,274607000,276214000,https://www.sec.gov/Archives/edgar/data/2488/000089843096000902/0000898430-96-000902-index.html,https://www.sec.gov/Archives/edgar/data/2488/,3031268000,2100128000,Technology,Semiconductors,NASDAQ,1980-03-17
1996-03-31,AMD,USD,0000002488,1996-05-15,1996-05-15 00:00:00,1996,Q1,544212000,368735000,175477000,0.322442357,94780000,0,0,103011000,0,197791000,566526000,0,0,75807000,53493000,0.0982944147,-22314000,-0.0410024035,26078000,3764000,0.0069164223,0,25327000,0.0465388488,0.09,0.09,276798000,276798000,https://www.sec.gov/Archives/edgar/data/2488/000089843096002040/0000898430-96-002040-index.html,https://www.sec.gov/Archives/edgar/data/2488/,2954809000,2121948000,Technology,Semiconductors,NASDAQ,1980-03-17
1996-06-30,AMD,USD,0000002488,1996-08-08,1996-08-08 00:00:00,1996,Q2,455077000,379779000,75298000,0.1654621086,92768000,0,0,83063000,0,175831000,555610000,0,0,94949000,-5584000,-0.0122704509,-100533000,-0.2209142629,21227000,-79306000,-0.1742694094,-31723000,-34672000,-0.0761893042,-0.13,-0.13,270532000,270532000,https://www.sec.gov/Archives/edgar/data/2488/000089843096003527/0000898430-96-003527-index.html,https://www.sec.gov/Archives/edgar/data/2488/,2845025000,2071355000,Technology,Semiconductors,NASDAQ,1980-03-17
1996-09-29,AMD,USD,0000002488,1996-11-08,1996-11-08 00:00:00,1996,Q3,456862000,337692000,119170000,0.2608446314,105656000,0,0,90432000,0,196088000,533780000,0,0,77701000,783000,0.0017138655,-76918000,-0.1683615621,771000,-76147000,-0.1666739628,-30459000,-38362000,-0.0839684631,-0.14,-0.14,272164000,272164000,https://www.sec.gov/Archives/edgar/data/2488/000101287096000583/0001012870-96-000583-index.html,https://www.sec.gov/Archives/edgar/data/2488/,3053992000,2036658000,Technology,Semiconductors,NASDAQ,1980-03-17
1996-12-29,AMD,USD,0000002488,1997-03-20,1997-03-20 00:00:00,1996,Q4,496868000,354622000,142246000,0.2862852911,107499000,0,0,88292000,0,195791000,550413000,0,0,84183000,30638000,0.0616622523,-53545000,-0.1077650402,-3522000,-57067000,-0.114853442,-22826000,-21243000,-0.0427538099,-0.0752,-0.0751,282438000,283009000,https://www.sec.gov/Archives/edgar/data/2488/000101287097000533/0001012870-97-000533-index.html,https://www.sec.gov/Archives/edgar/data/2488/,3145283000,2021878000,Technology,Semiconductors,NASDAQ,1980-03-17
1997-03-30,AMD,USD,0000002488,1997-05-14,1997-05-14 00:00:00,1997,Q1,551999000,349076000,202923000,0.3676147964,104908000,0,0,94519000,0,199427000,548503000,0,0,88800000,92296000,0.1672032015,3496000,0.0063333448,3912000,7408000,0.0134203142,2148000,12951000,0.023461999,0.05,0.05,293502000,294644000,https://www.sec.gov/Archives/edgar/data/2488/000095010997004074/0000950109-97-004074-index.html,https://www.sec.gov/Archives/edgar/data/2488/,3426126000,2043757000,Technology,Semiconductors,NASDAQ,1980-03-17
1997-06-29,AMD,USD,0000002488,1997-08-13,1997-08-13 00:00:00,1997,Q2,594561000,372266000,222295000,0.373880897,110021000,0,0,102983000,0,213004000,585270000,0,0,94025000,103316000,0.1737685452,9291000,0.0156266556,-240000,9051000,0.0152229965,2630000,9968000,0.0167653109,0.04,0.04,295838000,295838000,https://www.sec.gov/Archives/edgar/data/2488/000101287097001536/0001012870-97-001536-index.html,https://www.sec.gov/Archives/edgar/data/2488/,3471731000,2090547000,Technology,Semiconductors,NASDAQ,1980-03-17
1997-09-28,AMD,USD,0000002488,1997-11-12,1997-11-12 00:00:00,1997,Q3,596644000,428240000,168404000,0.2822520632,125917000,0,0,100915000,0,226832000,655072000,0,0,103965000,45537000,0.0763218938,-58428000,-0.0979277425,-8619000,-67047000,-0.1123735427,-30072000,-31675000,-0.053088609,-0.11,-0.11,283460000,283460000,https://www.sec.gov/Archives/edgar/data/2488/000101287097002210/0001012870-97-002210-index.html,https://www.sec.gov/Archives/edgar/data/2488/,3425946000,2043617000,Technology,Semiconductors,NASDAQ,1980-03-17
1997-12-28,AMD,USD,0000002488,1998-03-03,1998-03-03 00:00:00,1997,Q4,613171000,428856000,184315000,0.3005931461,127031000,0,0,102296000,0,229327000,658183000,0,0,107675000,62663000,0.1021949831,-45012000,-0.0734085598,-5232000,-50244000,-0.0819412529,-29861000,-12334000,-0.0201151066,-0.0436,-0.0436,282953000,282953000,https://www.sec.gov/Archives/edgar/data/2488/000101287098000595/0001012870-98-000595-index.html,https://www.sec.gov/Archives/edgar/data/2488/,3515271000,2029543000,Technology,Semiconductors,NASDAQ,1980-03-17
1998-03-29,AMD,USD,0000002488,1998-04-23,1998-04-23 00:00:00,1998,Q1,540900000,311400000,229500000,0.4242928453,128100000,0,0,88200000,112200000,328500000,639900000,0,0,112200000,13200000,0.0244037715,-99000000,-0.1830282862,-10700000,-109700000,-0.2028101313,-47000000,-62700000,-0.1159179146,-0.22,-0.22,285000000,285000000,https://www.sec.gov/Archives/edgar/data/2488/000101287098001068/0001012870-98-001068-index.html,https://www.sec.gov/Archives/edgar/data/2488/,3332306000,1965711000,Technology,Semiconductors,NASDAQ,1980-03-17
1998-06-28,AMD,USD,0000002488,1998-08-12,1998-08-12 00:00:00,1998,Q2,526500000,277000000,249500000,0.4738841406,139200000,0,0,101200000,113100000,353500000,630500000,0,0,113100000,9100000,0.0172839506,-104000000,-0.1975308642,-4700000,-108700000,-0.2064577398,-44100000,-64600000,-0.122697056,-0.23,-0.23,280869565,280869565,https://www.sec.gov/Archives/edgar/data/2488/000101287098002066/0001012870-98-002066-index.html,https://www.sec.gov/Archives/edgar/data/2488/,3858584000,1918451000,Technology,Semiconductors,NASDAQ,1980-03-17
1998-09-27,AMD,USD,0000002488,1998-11-12,1998-11-12 00:00:00,1998,Q3,685900000,305900000,380000000,0.5540166205,143700000,0,0,109800000,117100000,370600000,676500000,0,0,117100000,126500000,0.1844292171,9400000,0.0137046217,-9000000,400000,0.0005831754,-600000,1000000,0.0014579385,0.0035,0.0035,285966000,285966000,https://www.sec.gov/Archives/edgar/data/2488/000101287098002829/0001012870-98-002829-index.html,https://www.sec.gov/Archives/edgar/data/2488/,4116118000,1929696000,Technology,Semiconductors,NASDAQ,1980-03-17
1998-12-27,AMD,USD,0000002488,1999-03-29,1999-03-29 00:00:00,1998,Q4,788820000,481987000,306833000,0.3889772065,156459000,0,0,120498000,0,276957000,758944000,0,0,125101000,154977000,0.1964668746,29876000,0.0378742932,-5140000,24736000,0.0313582313,-136000,22321000,0.0282966963,0.0771,0.0771,289577000,289577000,https://www.sec.gov/Archives/edgar/data/2488/000101287099000892/0001012870-99-000892-index.html,https://www.sec.gov/Archives/edgar/data/2488/,4252968000,2005049000,Technology,Semiconductors,NASDAQ,1980-03-17
1999-03-28,AMD,USD,0000002488,1999-05-12,1999-05-12 00:00:00,1999,Q1,631593000,322944000,308649000,0.4886833768,159946000,0,0,127310000,127487000,414743000,737687000,0,0,127487000,21393000,0.0338714964,-106094000,-0.1679784291,-27746000,-133840000,-0.2119086184,-5473000,-128367000,-0.2032432278,-0.44,-0.44,291818000,291818000,https://www.sec.gov/Archives/edgar/data/2488/000101287099001511/0001012870-99-001511-index.html,https://www.sec.gov/Archives/edgar/data/2488/,4305493000,1873694000,Technology,Semiconductors,NASDAQ,1980-03-17
1999-06-27,AMD,USD,0000002488,1999-08-06,1999-08-06 00:00:00,1999,Q2,595100000,330400000,264700000,0.4447991934,167300000,0,0,124500000,127900000,419700000,750100000,0,0,127913000,-27087000,-0.0455167199,-155000000,-0.2604604268,407700000,252700000,0.4246345152,172800000,79900000,0.1342631491,0.27,0.27,293520500,293520500,https://www.sec.gov/Archives/edgar/data/2488/000101287099002652/0001012870-99-002652-index.html,https://www.sec.gov/Archives/edgar/data/2488/000101287099002652/,4246009000,1962161000,Technology,Semiconductors,NASDAQ,1980-03-17
1999-09-26,AMD,USD,0000002488,1999-11-01,1999-11-01 00:00:00,1999,Q3,662200000,343900000,318300000,0.4806704923,157600000,0,0,129400000,130200000,417200000,761100000,0,0,130200000,31300000,0.0472666868,-98900000,-0.1493506494,-11366000,-110266000,-0.1665146481,0,-105500000,-0.1593174268,-0.36,-0.36,295223000,295223000,https://www.sec.gov/Archives/edgar/data/2488/000101287099003915/0001012870-99-003915-index.html,https://www.sec.gov/Archives/edgar/data/2488/000101287099003915/,4178807000,1918765000,Technology,Semiconductors,NASDAQ,1980-03-17
1999-12-26,AMD,USD,0000002488,2000-03-21,2000-03-21 00:00:00,1999,Q4,968710000,581545000,387165000,0.3996706961,150936000,0,0,158803000,5700000,315439000,896984000,0,0,129930000,207356000,0.2140537416,71726000,0.0740427992,-5412000,66314000,0.0684559879,0,65080000,0.0671821288,0.22,0.2,298168500,319230500,https://www.sec.gov/Archives/edgar/data/2488/000101287000001494/0001012870-00-001494-index.html,https://www.sec.gov/Archives/edgar/data/2488/000101287000001494/,4377698000,1979273000,Technology,Semiconductors,NASDAQ,1980-03-17
2000-04-02,AMD,USD,0000002488,2000-05-17,2000-05-17 00:00:00,2000,Q1,1092029000,605757000,486272000,0.4452922038,161297000,0,0,144306000,0,305603000,911360000,0,0,127892000,308561000,0.2825575145,180669000,0.1654434086,0,180669000,0.1654434086,0,189349000,0.1733919154,0.63,0.58,301760000,343884000,https://www.sec.gov/Archives/edgar/data/2488/000101287000002943/0001012870-00-002943-index.html,https://www.sec.gov/Archives/edgar/data/2488/000101287000002943/,4638227000,2198372000,Technology,Semiconductors,NASDAQ,1980-03-17
2000-07-02,AMD,USD,0000002488,2000-08-16,2000-08-16 00:00:00,2000,Q2,1170437000,464756000,705681000,0.6029209603,155651000,0,0,152022000,147811000,455484000,920240000,0,0,147811000,398008000,0.3400507674,250197000,0.2137637481,8723000,258920000,0.22121652,51778000,207144000,0.176980051,0.67,0.61,309116000,352437000,https://www.sec.gov/Archives/edgar/data/2488/000101287000004459/0001012870-00-004459-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000101287000004459/0001012870-00-004459-0001.txt,4963494000,2443171000,Technology,Semiconductors,NASDAQ,1980-03-17
2000-10-01,AMD,USD,0000002488,2000-11-13,2000-11-13 00:00:00,2000,Q3,1206549000,639010000,567539000,0.4703820566,162764000,0,0,141931000,0,304695000,943705000,0,0,153758000,416602000,0.3452839462,262844000,0.2178477625,339306000,602150000,0.499068003,175009000,408567000,0.338624457,1.31,1.31,311943000,352893000,https://www.sec.gov/Archives/edgar/data/2488/000101287000005706/0001012870-00-005706-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000101287000005706/0001012870-00-005706-0001.txt,5371992000,2901214000,Technology,Semiconductors,NASDAQ,1980-03-17
2000-12-31,AMD,USD,0000002488,2001-03-20,2001-03-20 00:00:00,2000,Q4,1175172000,657303000,517869000,0.4406750671,162087000,0,0,160756000,0,322843000,980146000,0,0,149609000,344635000,0.2932634542,195026000,0.1659552814,5517000,200543000,0.1706499134,30081000,177968000,0.1514399594,0.57,0.51,311839000,350892500,https://www.sec.gov/Archives/edgar/data/2488/000101287001001228/0001012870-01-001228-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000101287001001228/0001012870-01-001228-0001.txt,5767735000,3171667000,Technology,Semiconductors,NASDAQ,1980-03-17
2001-04-01,AMD,USD,0000002488,2001-05-15,2001-05-15 00:00:00,2001,Q1,1188747000,714830000,473917000,0.3986693552,157760000,0,0,149138000,0,306898000,1021728000,0,0,152933000,319952000,0.2691506267,167019000,0.1405000391,-2822000,164197000,0.1381261109,52543000,124837000,0.1050156173,0.4,0.37,314347000,351785000,https://www.sec.gov/Archives/edgar/data/2488/000101287001500838/0001012870-01-500838-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000101287001500838/d10q.txt,6029405000,3276636000,Technology,Semiconductors,NASDAQ,1980-03-17
